0x00	0x00	253
0x01	0x7e	252
0x02	0x7c	252
0x03	0x7a	252
0x04	0x78	252
0x05	0x76	252
0x06	0x74	252
0x07	0x72	252
0x08	0x70	252
0x09	0x6f	252
0x0a	0x6d	252
0x0b	0x6b	252
0x0c	0x6a	252
0x0d	0x68	252
0x0e	0x66	252
0x0f	0x65	252
0x10	0x63	252
0x11	0x61	252
0x12	0x60	252
0x13	0x5e	252
0x14	0x5d	252
0x15	0x5b	252
0x16	0x5a	252
0x17	0x59	252
0x18	0x57	252
0x19	0x56	252
0x1a	0x54	252
0x1b	0x53	252
0x1c	0x52	252
0x1d	0x50	252
0x1e	0x4f	252
0x1f	0x4e	252
0x20	0x4c	252
0x21	0x4b	252
0x22	0x4a	252
0x23	0x49	252
0x24	0x47	252
0x25	0x46	252
0x26	0x45	252
0x27	0x44	252
0x28	0x43	252
0x29	0x41	252
0x2a	0x40	252
0x2b	0x3f	252
0x2c	0x3e	252
0x2d	0x3d	252
0x2e	0x3c	252
0x2f	0x3b	252
0x30	0x3a	252
0x31	0x39	252
0x32	0x38	252
0x33	0x37	252
0x34	0x36	252
0x35	0x35	252
0x36	0x34	252
0x37	0x33	252
0x38	0x32	252
0x39	0x31	252
0x3a	0x30	252
0x3b	0x2f	252
0x3c	0x2e	252
0x3d	0x2d	252
0x3e	0x2c	252
0x3f	0x2b	252
0x40	0x2a	252
0x41	0x29	252
0x42	0x28	252
0x43	0x28	252
0x44	0x27	252
0x45	0x26	252
0x46	0x25	252
0x47	0x24	252
0x48	0x23	252
0x49	0x23	252
0x4a	0x22	252
0x4b	0x21	252
0x4c	0x20	252
0x4d	0x1f	252
0x4e	0x1f	252
0x4f	0x1e	252
0x50	0x1d	252
0x51	0x1c	252
0x52	0x1c	252
0x53	0x1b	252
0x54	0x1a	252
0x55	0x19	252
0x56	0x19	252
0x57	0x18	252
0x58	0x17	252
0x59	0x17	252
0x5a	0x16	252
0x5b	0x15	252
0x5c	0x14	252
0x5d	0x14	252
0x5e	0x13	252
0x5f	0x12	252
0x60	0x12	252
0x61	0x11	252
0x62	0x10	252
0x63	0x10	252
0x64	0x0f	252
0x65	0x0f	252
0x66	0x0e	252
0x67	0x0d	252
0x68	0x0d	252
0x69	0x0c	252
0x6a	0x0c	252
0x6b	0x0b	252
0x6c	0x0a	252
0x6d	0x0a	252
0x6e	0x09	252
0x6f	0x09	252
0x70	0x08	252
0x71	0x07	252
0x72	0x07	252
0x73	0x06	252
0x74	0x06	252
0x75	0x05	252
0x76	0x05	252
0x77	0x04	252
0x78	0x04	252
0x79	0x03	252
0x7a	0x03	252
0x7b	0x02	252
0x7c	0x02	252
0x7d	0x01	252
0x7e	0x01	252
0x7f	0x00	252
0x01	0x7f	1
0x02	0x7e	1
0x03	0x7d	1
0x04	0x7c	1
0x05	0x7b	1
0x06	0x7a	1
0x07	0x79	1
0x08	0x78	1
0x09	0x77	1
0x0a	0x76	1
0x0b	0x75	1
0x0c	0x75	1
0x0d	0x74	1
0x0e	0x73	1
0x0f	0x72	1
0x10	0x71	1
0x11	0x70	1
0x12	0x70	1
0x13	0x6f	1
0x14	0x6e	1
0x15	0x6d	1
0x16	0x6d	1
0x17	0x6c	1
0x18	0x6b	1
0x19	0x6b	1
0x1a	0x6a	1
0x1b	0x69	1
0x1c	0x69	1
0x1d	0x68	1
0x1e	0x67	1
0x1f	0x67	1
0x20	0x66	1
0x21	0x65	1
0x22	0x65	1
0x23	0x64	1
0x24	0x63	1
0x25	0x63	1
0x26	0x62	1
0x27	0x62	1
0x28	0x61	1
0x29	0x60	1
0x2a	0x60	1
0x2b	0x5f	1
0x2c	0x5f	1
0x2d	0x5e	1
0x2e	0x5e	1
0x2f	0x5d	1
0x30	0x5d	1
0x31	0x5c	1
0x32	0x5c	1
0x33	0x5b	1
0x34	0x5b	1
0x35	0x5a	1
0x36	0x5a	1
0x37	0x59	1
0x38	0x59	1
0x39	0x58	1
0x3a	0x58	1
0x3b	0x57	1
0x3c	0x57	1
0x3d	0x56	1
0x3e	0x56	1
0x3f	0x55	1
0x40	0x55	1
0x41	0x54	1
0x42	0x54	1
0x43	0x54	1
0x44	0x53	1
0x45	0x53	1
0x46	0x52	1
0x47	0x52	1
0x48	0x51	1
0x49	0x51	1
0x4a	0x51	1
0x4b	0x50	1
0x4c	0x50	1
0x4d	0x4f	1
0x4e	0x4f	1
0x4f	0x4f	1
0x50	0x4e	1
0x51	0x4e	1
0x52	0x4e	1
0x53	0x4d	1
0x54	0x4d	1
0x55	0x4c	1
0x56	0x4c	1
0x57	0x4c	1
0x58	0x4b	1
0x59	0x4b	1
0x5a	0x4b	1
0x5b	0x4a	1
0x5c	0x4a	1
0x5d	0x4a	1
0x5e	0x49	1
0x5f	0x49	1
0x60	0x49	1
0x61	0x48	1
0x62	0x48	1
0x63	0x48	1
0x64	0x47	1
0x65	0x47	1
0x66	0x47	1
0x67	0x46	1
0x68	0x46	1
0x69	0x46	1
0x6a	0x46	1
0x6b	0x45	1
0x6c	0x45	1
0x6d	0x45	1
0x6e	0x44	1
0x6f	0x44	1
0x70	0x44	1
0x71	0x43	1
0x72	0x43	1
0x73	0x43	1
0x74	0x43	1
0x75	0x42	1
0x76	0x42	1
0x77	0x42	1
0x78	0x42	1
0x79	0x41	1
0x7a	0x41	1
0x7b	0x41	1
0x7c	0x41	1
0x7d	0x40	1
0x7e	0x40	1
0x7f	0x40	1
